Drug_Name,Symptom_1,Symptom_2,Side_Effect,Uses,Price,Dosage,Similar_Tablets,Type
Dapsone,Leprosy (Multibacillary and Paucibacillary),"Dermatitis Herpetiformis, PCP Prophylaxis","Nausea, vomiting, headache. Serious: Hemolytic anemia (especially in G6PD deficiency), Methemoglobinemia, severe skin reactions.",Sulfone Antibiotic / Anti-inflammatory,₹10 - ₹50 per 10 tabs (50mg/100mg),Leprosy: 50-100 mg daily (in combination therapy).,"Rifampicin, Clofazimine.",Global Tablet
Daptomycin,Complicated Skin and Soft Tissue Infections (cSSSI),"Staphylococcus aureus Bacteremia, Right-sided Infective Endocarditis","Injection site reactions, headache, insomnia. Serious: Myopathy (muscle weakness/pain), Eosinophilic Pneumonia (EP).",Lipopeptide Antibiotic (Active against MRSA/VRE),Very High Cost; Hospital/IV use only,4 $\text{mg}/\text{kg}$ to 6 $\text{mg}/\text{kg}$ IV infusion once daily.,"Vancomycin, Linezolid.",Global Injection
Daratumumab,Multiple Myeloma (Alone or in combination),-,"Infusion-related reactions (fever, cough, dyspnea), fatigue, nausea, neutropenia.",Monoclonal Antibody (CD38-directed),Extremely High Cost; Specialty IV/SC Injection,IV or SC infusion (Complex weekly/monthly schedule).,"Elotuzumab, Pomalidomide.",Global Injection
Darbepoetin alfa,Treatment of Anemia associated with Chronic Kidney Disease (CKD),Treatment of Anemia in Chemotherapy patients (Non-myeloid malignancies),"Hypertension, thrombosis (blood clots), headache, injection site pain.",Erythropoiesis-Stimulating Agent (ESA),Very High Cost; Specialty Injection,"Subcutaneous or IV injection (Dosing highly variable, typically weekly or bi-weekly).","Epoetin alfa, Methoxy PEG-epoetin beta.",Global Injection (Pre-filled Syringe)
Darifenacin,"Overactive Bladder (OAB) with symptoms of urge incontinence, urgency, and frequency",-,"Dry mouth, constipation, blurred vision.",Muscarinic Antagonist (Anticholinergic),₹300 - ₹800 per 10 tabs (7.5mg/15mg),7.5 mg or 15 mg once daily.,"Solifenacin, Tolterodine, Oxybutynin.",Global Extended-Release Tablet
Darunavir,Treatment of HIV-1 Infection,-,"Diarrhea, nausea, vomiting, rash, headache. Must be co-administered with a booster (Ritonavir or Cobicistat).",Protease Inhibitor (PI),Very High Cost; Specialty drug,800 mg once daily (with booster) or 600 mg twice daily (with booster).,"Atazanavir, Lopinavir/Ritonavir.",Global Tablet
Dasabuvir,Chronic Hepatitis C (Genotype 1),-,"Nausea, fatigue, insomnia. Used only in combination with other direct-acting antivirals (e.g., Ombitasvir, Paritaprevir, Ritonavir).",Direct-Acting Antiviral (HCV NS5B Inhibitor),Extremely High Cost (Only available in combination products); Specialty use only,250 mg twice daily.,Sofosbuvir (Other NS5B Inhibitor).,Global Tablet (Combination)
Dasatinib,Chronic Myeloid Leukemia (CML) (Ph+),Acute Lymphoblastic Leukemia (ALL) (Ph+),"Fluid retention (pleural effusion), diarrhea, headache, neutropenia, anemia.",Tyrosine Kinase Inhibitor (TKI) (Dual Src/BCR-ABL inhibitor),Extremely High Cost; Oncology use only,100 mg once daily.,"Imatinib, Nilotinib, Bosutinib.",Global Tablet
Daunorubicin,Acute Myeloid Leukemia (AML),Acute Lymphoblastic Leukemia (ALL),"Severe myelosuppression, nausea, vomiting, alopecia, mucositis, red discoloration of urine. Serious: Cardiotoxicity (dose-dependent heart failure).",Anthracycline Antibiotic (Chemotherapy),Very High Cost; Oncology use only,"IV infusion (Dosing complex, based on $\text{m}^2$ and protocol).","Doxorubicin, Idarubicin.",Global Injection
Decitabine,Myelodysplastic Syndrome (MDS),Acute Myeloid Leukemia (AML) (especially in elderly patients),"Neutropenia, thrombocytopenia, fever, fatigue, nausea, constipation.",Hypomethylating Agent (Chemotherapy),Very High Cost; Oncology use only,IV infusion (Complex dosing regimen over 5 days).,Azacitidine.,Global Injection
Deferasirox,"Chronic Iron Overload (due to frequent blood transfusions, e.g., Thalassemia)",-,"Nausea, vomiting, abdominal pain, diarrhea. Serious: Renal (kidney) and hepatic (liver) toxicity, GI hemorrhage.",Oral Iron Chelator,Very High Cost; Specialty drug,14 $\text{mg}/\text{kg}$ to 28 $\text{mg}/\text{kg}$ once daily (as film-coated tablet or dispersible tablet).,"Deferoxamine, Deferiprone.",Global Tablet
Deferiprone,"Chronic Iron Overload (due to frequent blood transfusions, e.g., Thalassemia)",-,"Reddish-brown urine, nausea, vomiting, abdominal pain. Serious: Agranulocytosis (severe low white blood cells), joint pain.",Oral Iron Chelator,Very High Cost; Specialty drug,25 mg/kg three times daily.,"Deferasirox, Desferrioxamine mesilate.",Global Tablet/Oral Solution
Deflazacort,Muscular Dystrophy (Duchenne type),Severe inflammation/Autoimmune conditions (alternative to Prednisone),"Weight gain, increased appetite, behavioral changes, Cushingoid appearance. Serious: Adrenal suppression, osteoporosis, cataracts.",Glucocorticoid (Corticosteroid),₹300 - ₹800 per 10 tabs (6mg/30mg),Varies widely; Duchenne: 0.9 $\text{mg}/\text{kg}/\text{day}$.,"Prednisone, Methylprednisolone.",Global Tablet/Suspension
Degarelix,Advanced Prostate Cancer (Hormone-sensitive),-,"Hot flashes, weight gain, fatigue, injection site pain (severe), liver enzyme elevation.",GnRH Receptor Antagonist,Very High Cost; Specialty Injection,Initial loading dose followed by 80 mg SC once monthly.,"Goserelin, Leuprolide (GnRH Agonists).",Global Injection (SC)
Delamanid,Tuberculosis (Multi-drug Resistant - MDR-TB),-,"Insomnia, headache, nausea, dizziness. Serious: QT prolongation (ECG monitoring required).",Nitro-dihydro-imidazooxazole Antituberculosis Agent,Extremely High Cost; Specialty drug,100 mg twice daily for 6 months (as part of a combination regimen).,Bedaquiline (Other novel TB drug).,Global Tablet
Demeclocycline hydrochloride,Syndrome of Inappropriate Antidiuretic Hormone (SIADH),"Acne (less common now), other Tetracycline-sensitive infections","Nausea, vomiting, photosensitivity. Serious: Nephrogenic Diabetes Insipidus (therapeutic effect in SIADH).",Tetracycline Antibiotic,₹50 - ₹150 per 10 caps (150mg),600 mg to 1200 mg daily in divided doses (for SIADH).,"Tolvaptan (Vaptans, for SIADH).",Global Capsule
Denosumab,Postmenopausal Osteoporosis (high fracture risk),Prevention of skeletal-related events in Bone Metastasis,"Musculoskeletal pain, cystitis. Serious: Osteonecrosis of the Jaw (ONJ), atypical femoral fractures, hypocalcemia.",Monoclonal Antibody (RANK Ligand Inhibitor),Very High Cost; Specialty Injection,Osteoporosis: 60 mg SC every 6 months. Metastasis: 120 mg SC monthly.,Zoledronic Acid (Bisphosphonate).,Global Injection (SC)
Desferrioxamine mesilate,Acute Iron Poisoning (Emergency treatment),Chronic Iron Overload (Thalassemia),"Injection site pain, visual/auditory disturbances (high doses), flushing, low blood pressure (rapid IV infusion).",Iron Chelator,High Cost; Hospital/IV/SC use only,IV infusion (Emergency); SC infusion via portable pump overnight (Chronic).,"Deferasirox, Deferiprone (Oral chelators).",Global Injection
Desirudin (unlicensed product),Prevention of Venous Thromboembolism (VTE) following hip surgery,-,Bleeding.,Recombinant Hirudin (Direct Thrombin Inhibitor),High Cost; Specialty Injection,15 mg SC twice daily.,"Enoxaparin (LMWH), Bivalirudin.",Global Injection
Desloratadine,Allergic Rhinitis (Hay fever),Chronic Idiopathic Urticaria (Hives),"Headache, dry mouth, fatigue. (Non-sedating)",H1 Receptor Antagonist (Second-generation),₹100 - ₹300 per 10 tabs (5mg),5 mg once daily.,"Loratadine, Cetirizine, Fexofenadine.",Global Tablet/Syrup
Desmopressin (DDAVP),Central Diabetes Insipidus,"Nocturia (excessive night urination), Primary Nocturnal Enuresis (bedwetting)","Headache, nausea, dizziness. Serious: Hyponatremia (low sodium) leading to seizures (requires monitoring).",Synthetic Analog of ADH (Vasopressin),₹300 - ₹800 per pack (Nasal/Oral),Oral: 0.1 mg to 0.8 mg at bedtime. Nasal spray: 10 $\mu$g to 40 $\mu$g daily.,Vasopressin (ADH).,Global Tablet/Nasal Spray/Injection
Dexamethasone,"Severe Inflammation (e.g., Arthritis, Allergies, Asthma)","Cerebral Edema, Anti-emetic (Chemotherapy-induced), COVID-19","Weight gain, fluid retention, mood changes, increased blood sugar, insomnia. Serious: Adrenal suppression, increased infection risk.",Corticosteroid (Potent Glucocorticoid),₹20 - ₹50 per 10 tabs (0.5mg),"Varies widely (e.g., 0.5 mg to 16 mg daily).","Prednisone, Betamethasone.",Global Tablet/Injection/Drops
Dexibuprofen,Mild to moderate Pain,"Osteoarthritis, Rheumatoid Arthritis, Dysmenorrhea","Gastrointestinal upset, indigestion, headache. Less GI upset than Ibuprofen.",NSAID (S-enantiomer of Ibuprofen),₹50 - ₹150 per 10 tabs (300mg/400mg),200 mg to 400 mg three times a day.,"Ibuprofen, Naproxen, Diclofenac.",Global Tablet
Dexketoprofen,Acute mild to moderate Pain,"Post-operative Pain, Dysmenorrhea","Nausea, abdominal pain, dyspepsia. Less GI side effects reported than other NSAIDs.",NSAID (S-enantiomer of Ketoprofen),₹80 - ₹200 per 10 tabs (12.5mg/25mg),12.5 mg every 4-6 hours or 25 mg every 8 hours.,"Ketoprofen, Ibuprofen.",Global Tablet/Injection
Dexrazoxane,Reduction of Cardiotoxicity associated with Doxorubicin or Epirubicin,Treatment of Extravasation (IV leakage) of Anthracyclines,"Nausea, vomiting, injection site reactions, increased myelosuppression (when used with chemo).",Cardioprotective Agent / Chemotherapy Adjuvant,Very High Cost; Hospital/IV use only,IV infusion (Dosing depends on indication and accompanying chemotherapy dose).,-,Global Injection
Diamorphine hydrochloride,"Severe Pain (often Palliative care, Acute MI, Post-operative)",-,"Nausea, vomiting, constipation, respiratory depression, sedation.",Opioid Analgesic,High Cost; Controlled Drug,"Varies widely (e.g., 2.5 mg to 10 mg SC/IM/IV).","Morphine, Fentanyl.",Global Injection
Diazepam,Acute Anxiety and Panic Attacks,"Status Epilepticus (Seizures), Muscle Spasms, Alcohol Withdrawal","Drowsiness, fatigue, muscle weakness, confusion, dependence.",Benzodiazepine (Long-acting),₹10 - ₹50 per 10 tabs (5mg/10mg),Anxiety: 2 mg to 10 mg two to four times daily. Seizures: 5-10 mg IV/Rectal.,"Lorazepam, Alprazolam.",Global Tablet/Injection/Rectal
Diazoxide,Acute severe Hypertension (Hypertensive emergency),Hypoglycemia due to Hyperinsulinism (Oral form),"Low blood pressure (Hypotension, IV), fluid retention, high blood sugar (Oral), nausea, vomiting.",Vasodilator (IV) / Potassium Channel Activator (Oral),High Cost; Hospital/IV use only (IV form),IV Injection: 50 $\text{mg}$ to 150 $\text{mg}$ repeated. Oral: 3 $\text{mg}/\text{kg}/\text{day}$ in divided doses.,"Nitroprusside, Hydralazine (IV).",Global Injection/Capsule
Diclofenac sodium,Mild to moderate Pain and Inflammation,"Osteoarthritis, Rheumatoid Arthritis, Acute Gout, Dysmenorrhea","Gastrointestinal upset, dyspepsia, stomach pain. Serious: GI bleeding, increased risk of cardiovascular events (MI/Stroke), renal impairment.",NSAID (Non-Steroidal Anti-inflammatory Drug),₹30 - ₹100 per 10 tabs (50mg/100mg),50 mg to 100 mg two or three times daily (max 150 mg/day).,"Ibuprofen, Naproxen, Celecoxib.",Global Tablet/Injection/Suppository
Didanosine,Treatment of HIV-1 Infection,-,"Diarrhea, nausea, vomiting, peripheral neuropathy (burning/tingling in feet/hands). Serious: Pancreatitis, lactic acidosis.",Nucleoside Reverse Transcriptase Inhibitor (NRTI),High Cost (Superseded by newer NRTIs); Specialty drug,200 mg to 400 mg once daily (based on weight).,"Lamivudine, Tenofovir.",Global Tablet/Powder
Digoxin,Chronic Atrial Fibrillation (Rate control),Chronic Heart Failure (to improve symptoms),"Nausea, vomiting, diarrhea, headache, fatigue. Serious: Cardiac arrhythmias (risk increased by low potassium), visual disturbances (yellow/green halos).",Cardiac Glycoside,₹10 - ₹50 per 10 tabs (62.5mcg/250mcg),"Loading dose (rarely used), Maintenance: 62.5 $\mu$g to 250 $\mu$g once daily (adjusted for renal function).","Beta-blockers (for AF rate control), ACE inhibitors (for Heart Failure).",Global Tablet/Injection
Dihydrocodeine tartrate,Moderate to severe Pain (Acute or Chronic),Short-term Cough Suppression,"Constipation, nausea, vomiting, dizziness, drowsiness. Serious: Respiratory depression, dependence.",Opioid Analgesic,₹50 - ₹150 per 10 tabs (30mg),30 mg to 60 mg every 4–6 hours as needed.,"Codeine, Tramadol, Co-dydramol.",Global Tablet/Syrup
Diltiazem hydrochloride,Hypertension (High Blood Pressure),"Chronic Stable Angina, Atrial Fibrillation (Rate control)","Dizziness, headache, edema (swelling of ankles), bradycardia (slow heart rate). Serious: Heart block, congestive heart failure.",Non-Dihydropyridine Calcium Channel Blocker,₹50 - ₹250 per 10 tabs (30mg/60mg/ER),Varies widely: 30 mg to 120 mg three times daily (standard) or 180 mg to 420 mg once daily (ER).,"Verapamil, Amlodipine.",Global Tablet/Capsule/Injection
Dimethyl fumarate,Relapsing-remitting Multiple Sclerosis (MS),Moderate to severe Plaque Psoriasis (Fumaric acid esters),"Flushing (redness/itching), nausea, diarrhea, abdominal pain. Serious: Lymphopenia (low white blood cells), Progressive Multifocal Leukoencephalopathy (PML).",Immunomodulator (Nrf2 activator),Extremely High Cost; Specialty drug,Initial: 120 mg twice daily. Maintenance: 240 mg twice daily.,"Fingolimod, Teriflunomide.",Global Capsule
Dipyridamole,"Adjunctive therapy for Prevention of Thromboembolism (e.g., Post-heart valve replacement)","Cardiac stress testing (vasodilator), Prevention of stroke (with aspirin)","Headache, dizziness, flushing, nausea, diarrhea. Serious: Chest pain (Angina), hypotension.",Platelet Aggregation Inhibitor / Vasodilator,₹100 - ₹300 per 10 tabs (25mg/100mg),75 mg to 100 mg three times daily (in combination with Warfarin or Aspirin).,"Aspirin, Clopidogrel.",Global Tablet/Capsule/Injection
Disodium pamidronate,Treatment of Hypercalcemia of Malignancy (High calcium due to cancer),"Paget's Disease of Bone, Lytic bone lesions in Multiple Myeloma","Fever, flu-like symptoms, hypocalcemia (low calcium), injection site reactions. Serious: Osteonecrosis of the Jaw (ONJ), renal impairment.",Bisphosphonate (Inhibits bone resorption),Very High Cost; Hospital/IV use only,"IV infusion (Dosing varies by indication, e.g., 30–90 mg over 2–4 hours).","Zoledronic Acid, Ibandronate.",Global Injection
Disopyramide,"Treatment of Ventricular Arrhythmias (PVCs, VT)",-,"Dry mouth, blurred vision, urinary retention, constipation (Anticholinergic effects). Serious: QT prolongation, Hypotension, Worsening of heart failure.",Class IA Antiarrhythmic Agent,₹100 - ₹300 per 10 caps (100mg/150mg),100 mg to 300 mg three or four times daily.,"Quinidine, Procainamide, Flecainide.",Global Capsule/Tablet
Disulfiram,Chronic Alcohol Dependence (as an aversion therapy),-,"Headache, drowsiness, metallic/garlic taste, skin rash. Serious: Severe acetaldehyde reaction if alcohol is consumed (flushing, nausea, palpitations, hypotension).",Aldehyde Dehydrogenase Inhibitor,₹100 - ₹300 per 10 tabs (250mg),250 mg once daily.,"Acamprosate, Naltrexone (Other anti-craving agents).",Global Tablet
Dobutamine,Cardiac Decompensation (acute Heart Failure or cardiogenic shock),-,"Tachycardia (fast heart rate), hypertension, ectopic beats, nausea.",$\text{Beta}_1$ Adrenergic Agonist (Inotrope),High Cost; Hospital/IV use only,IV infusion (Dosing 2.5 to 20 $\mu$g/kg/min).,"Dopamine, Milrinone.",Global Injection
Docetaxel,"Various Cancers (Breast, Non-Small Cell Lung, Prostate, Gastric)",-,"Neutropenia (severe), fluid retention, hair loss (alopecia), sensory neuropathy, rash. Serious: Severe hypersensitivity reactions (requires pre-medication).",Taxane Chemotherapy,Very High Cost; Oncology use only,"IV infusion (Dosing complex, often 75-100 $\text{mg}/\text{m}^2$ every 3 weeks).","Paclitaxel, Cabazitaxel.",Global Injection
Dolutegravir,Treatment of HIV-1 Infection,-,"Insomnia, headache, nausea, diarrhea. Generally well-tolerated.",Integrase Strand Transfer Inhibitor (INSTI),Very High Cost; Specialty drug,50 mg once daily (or twice daily with certain co-medications).,"Raltegravir, Bictegravir.",Global Tablet (Often in combination)
Domperidone,Nausea and Vomiting,Symptomatic treatment of delayed gastric emptying (Gastroparesis),"Dry mouth, headache, anxiety. Serious: QT prolongation, sudden cardiac death (restricted use in some countries).",Peripheral $\text{D}_2$ Receptor Antagonist (Prokinetic/Antiemetic),₹30 - ₹100 per 10 tabs (10mg),10 mg up to three times a day.,"Metoclopramide, Ondansetron.",Global Tablet/Suspension
Donepezil hydrochloride,Mild to moderate Alzheimer's Disease,-,"Nausea, vomiting, diarrhea, insomnia, muscle cramps, dizziness.",Central Acetylcholinesterase Inhibitor,₹300 - ₹800 per 10 tabs (5mg/10mg),5 mg once daily at bedtime (increased to 10 mg after 4-6 weeks).,"Rivastigmine, Galantamine (Other cholinesterase inhibitors).",Global Tablet/Oral Disintegrating Tablet
Dopamine hydrochloride,Correction of Hypotension and low cardiac output (shock),-,"Tachycardia, hypertension, ectopic beats, headache, nausea. Serious: Necrosis if extravasation occurs (requires phentolamine).","Adrenergic Agonist (Acts on $\text{D}_1$, $\text{Beta}_1$, and $\text{Alpha}_1$ receptors depending on dose)",High Cost; Hospital/IV use only,IV infusion (Dosing 2-20 $\mu$g/kg/min).,"Norepinephrine, Dobutamine.",Global Injection
Dopexamine hydrochloride,Acute Heart Failure (low cardiac output),-,"Tachycardia, nausea, headache, tremor.",$\text{Beta}_2$ and $\text{Dopamine}_1$ Agonist (Inotrope/Vasodilator),High Cost; Hospital/IV use only,IV infusion (Dosing 0.5 to 6 $\mu$g/kg/min).,"Dobutamine, Milrinone.",Global Injection
Dornase alfa,Management of Cystic Fibrosis (CF),-,"Voice alteration, pharyngitis, chest pain, rash.",Mucolytic Agent (Recombinant Human DNase),Extremely High Cost; Specialty Inhalation,2.5 $\text{mg}$ inhaled once daily (via nebulizer).,Hypertonic Saline (Inhaled).,Global Inhalation Solution
Dosulepin hydrochloride (dothiepin),Major Depressive Disorder (MDD),Neuropathic Pain (less common now),"Dry mouth, constipation, sedation, dizziness, blurred vision. Serious: High risk of cardiotoxicity in overdose (restricted use in some countries).",Tricyclic Antidepressant (TCA),₹30 - ₹100 per 10 caps (25mg/75mg),Initial: 75 mg daily. Max 200 mg daily.,"Amitriptyline, Nortriptyline.",Global Capsule/Tablet
Doxapram hydrochloride,Management of Respiratory Depression (Post-anesthetic or Drug-induced),Neonatal Apnea (historical use),"Hypertension, tachycardia, headache, tremor, dizziness.",Central Respiratory Stimulant,High Cost; Hospital/IV use only,IV infusion/injection (Dosing 1-3 $\text{mg}/\text{kg}$ total).,Naloxone (for opioid-induced respiratory depression).,Global Injection
Doxazosin,Hypertension (High Blood Pressure),Symptomatic Benign Prostatic Hyperplasia (BPH),"Dizziness, headache, fatigue, orthostatic hypotension (first-dose effect).",$\text{Alpha}_1$ Adrenergic Receptor Blocker,₹50 - ₹150 per 10 tabs (1mg/4mg),1 mg once daily (titrated to 4 mg or 8 mg).,"Terazosin, Prazosin, Tamsulosin (for BPH).",Global Tablet (Standard/Extended-Release)
Doxepin,Major Depressive Disorder (MDD) and Anxiety,"Chronic Urticaria (Hives), Chronic Pain (Neuropathic)","Sedation (pronounced), dry mouth, blurred vision, constipation. Serious: Cardiac effects in overdose.",Tricyclic Antidepressant (TCA),₹30 - ₹100 per 10 caps (10mg/50mg),Depression: 75 mg to 150 mg daily. Insomnia/Pain: 3-6 mg at bedtime (low dose).,"Amitriptyline, Dosulepin.",Global Capsule/Cream/Oral Solution
Doxorubicin hydrochloride,"Wide range of Cancers (Breast, Lymphoma, Sarcoma, ALL)",-,"Severe myelosuppression, nausea, vomiting, alopecia (hair loss), mucositis, red urine discoloration. Serious: Cardiotoxicity (dose-dependent heart failure).",Anthracycline Antibiotic (Chemotherapy),Very High Cost; Oncology use only,"IV infusion (Dosing complex, based on $\text{m}^2$ and protocol).","Daunorubicin, Epirubicin (Other anthracyclines).",Global Injection
Doxycycline,"Wide range of Bacterial Infections (Respiratory, Skin, STI, Acne)","Malaria prophylaxis, Rosacea, Lyme disease","Nausea, vomiting, photosensitivity, esophageal irritation. Contraindicated: In children <8 years old (tooth discoloration).",Tetracycline Antibiotic,₹30 - ₹100 per 10 caps (100mg),100 mg once or twice daily.,"Minocycline, Tetracycline.",Global Capsule/Tablet/Injection
Dronedarone,Maintenance of sinus rhythm in patients with Atrial Fibrillation/Flutter (Paroxysmal or persistent),-,"Diarrhea, nausea, vomiting, abdominal pain. Serious: Liver toxicity, Pulmonary fibrosis, increased risk of death in patients with severe heart failure.",Class III Antiarrhythmic Agent,Very High Cost; Specialty drug,400 mg twice daily.,"Amiodarone, Sotalol (Other Class III antiarrhythmics).",Global Tablet
Droperidol,Prevention and treatment of Postoperative Nausea and Vomiting (PONV),Sedation/tranquilization (less common now),"Sedation, dizziness, restlessness. Serious: QT prolongation, Torsades de Pointes (requires ECG monitoring).",Butyrophenone Antipsychotic / Antiemetic,High Cost; Hospital/IV use only,PONV: 0.625 mg to 1.25 mg IV.,"Haloperidol, Ondansetron.",Global Injection
Dulaglutide,Type 2 Diabetes Mellitus (Improves glycemic control and reduces cardiovascular risk),-,"Nausea, vomiting, diarrhea, abdominal pain, decreased appetite.",Glucagon-Like Peptide-1 (GLP-1) Receptor Agonist,Very High Cost; Specialty Injection,0.75 mg or 1.5 mg subcutaneous injection once weekly.,"Liraglutide, Semaglutide.",Global Injection (Pre-filled Pen)
Duloxetine,Major Depressive Disorder (MDD),"Generalized Anxiety Disorder (GAD), Diabetic Peripheral Neuropathic Pain, Fibromyalgia","Nausea, dry mouth, headache, dizziness, insomnia. Serious: Hepatotoxicity (liver damage), increased blood pressure.",Serotonin-Norepinephrine Reuptake Inhibitor (SNRI),₹150 - ₹400 per 10 caps (30mg/60mg),40 mg to 60 mg once daily (max 120 mg daily).,"Venlafaxine, Desvenlafaxine.",Global Capsule
Dutasteride,Benign Prostatic Hyperplasia (BPH),-,"Decreased libido, erectile dysfunction, ejaculation disorder, gynecomastia.",5-Alpha Reductase Inhibitor,₹150 - ₹350 per 10 caps (0.5mg),0.5 mg once daily.,"Finasteride, Tamsulosin (Alpha-blocker).",Global Capsule
Eculizumab,Paroxysmal Nocturnal Hemoglobinuria (PNH),Atypical Hemolytic Uremic Syndrome (aHUS),"Headache, nasopharyngitis, back pain. Serious: Increased risk of meningococcal infection (mandatory vaccination).",Monoclonal Antibody (Complement C5 Inhibitor),Extremely High Cost; Specialty IV Infusion,IV infusion (Complex loading and maintenance schedule).,Ravulizumab (Longer-acting C5 inhibitor).,Global Injection
Edoxaban tosilate,Prevention of Stroke in non-valvular Atrial Fibrillation (AF),Treatment and prevention of Deep Vein Thrombosis (DVT) and Pulmonary Embolism (PE),"Bleeding (major or minor), anemia, rash.",Factor Xa Inhibitor (Oral Anticoagulant - DOAC),₹500 - ₹1000 per 10 tabs (30mg/60mg),60 mg once daily (or 30 mg for high-risk patients).,"Apixaban, Rivaroxaban, Dabigatran.",Global Tablet
Efavirenz,Treatment of HIV-1 Infection,-,"Dizziness, headache, rash, vivid dreams/nightmares, CNS symptoms (usually resolve in weeks).",Non-Nucleoside Reverse Transcriptase Inhibitor (NNRTI),High Cost; Specialty drug,600 mg once daily at bedtime.,"Nevirapine, Rilpivirine.",Global Tablet/Capsule
Eletriptan,Acute treatment of Migraine attacks (with or without aura),-,"Dizziness, somnolence (drowsiness), nausea, chest/throat tightness. Contraindicated: In uncontrolled hypertension or coronary artery disease.",$\text{5-HT}_{1\text{B/1D}}$ Receptor Agonist (Triptan),₹150 - ₹400 per 2 tabs (20mg/40mg),20 mg or 40 mg at onset of migraine (may repeat once after 2 hours).,"Sumatriptan, Rizatriptan.",Global Tablet
Eltrombopag,Chronic Immune Thrombocytopenia (ITP),"Thrombocytopenia in Chronic Hepatitis C, Severe Aplastic Anemia","Nausea, vomiting, abnormal liver tests (transaminitis), diarrhea. Serious: Hepatotoxicity, thromboembolic events.",Thrombopoietin (TPO) Receptor Agonist,Extremely High Cost; Specialty drug,25 mg to 75 mg once daily (must be taken 1 hour before or 2 hours after calcium-containing foods).,Romiplostim (TPO agonist injection).,Global Tablet
Eluxadoline,Irritable Bowel Syndrome with Diarrhea (IBS-D),-,"Constipation, nausea, abdominal pain. Serious: Pancreatitis (requires assessment of sphincter of Oddi function).",Opioid Receptor Mixed Agonist/Antagonist,High Cost; Specialty drug,100 mg twice daily (or 75 mg twice daily for high-risk patients).,"Rifaximin, Loperamide.",Global Tablet
Empagliflozin,Type 2 Diabetes Mellitus,"Heart failure (HFrEF), Chronic Kidney Disease (CKD)","Genital mycotic infections, urinary tract infections, increased urination. Serious: Ketoacidosis (rare).",SGLT2 Inhibitor,₹250 - ₹500 per 10 tabs (10mg/25mg),10 mg or 25 mg once daily.,"Dapagliflozin, Canagliflozin.",Global Tablet
Emtricitabine,Treatment of HIV-1 Infection,Pre-Exposure Prophylaxis (PrEP),"Diarrhea, nausea, vomiting, dizziness, hyperpigmentation of palms/soles (rare).",Nucleoside Reverse Transcriptase Inhibitor (NRTI),High Cost (Almost always in combination); Specialty drug,200 mg once daily.,"Lamivudine, Abacavir.",Global Capsule/Oral Solution (Often in FDC)
Enalapril maleate,Hypertension (High Blood Pressure),"Chronic Heart Failure, Post-Myocardial Infarction (MI)","Dry cough, dizziness, fatigue. Serious: Angioedema (swelling of face/throat), hyperkalemia, renal impairment.",Angiotensin-Converting Enzyme (ACE) Inhibitor,₹20 - ₹80 per 10 tabs (5mg/10mg),5 mg to 20 mg once or twice daily.,"Lisinopril, Ramipril, Captopril.",Global Tablet
Enfuvirtide,Treatment of HIV-1 Infection (Treatment-experienced patients),-,"Injection site reactions (frequent and local pain/induration), diarrhea, nausea.",Fusion Inhibitor,Extremely High Cost; Specialty Injection,90 mg subcutaneous injection twice daily.,Maraviroc (CCR5 Inhibitor).,Global Injection
Enoxaparin sodium (LMWH),Prevention of DVT (especially surgical or medical),"Treatment of Acute DVT/PE, Unstable Angina/NSTEMI","Bleeding (major or minor), injection site bruising/pain. Serious: Heparin-induced Thrombocytopenia (HIT).",Low Molecular Weight Heparin (LMWH),₹200 - ₹500 per pre-filled syringe (40mg/60mg),Prophylaxis: 40 mg SC once daily. Treatment: 1 mg/kg SC twice daily.,"Dalteparin, Unfractionated Heparin.",Global Injection
Entacapone,Parkinson's Disease (as adjunct to Levodopa/Carbidopa),-,"Dyskinesias (involuntary movements), nausea, diarrhea, orange/brown discoloration of urine.",Catechol-O-Methyl Transferase (COMT) Inhibitor,₹200 - ₹500 per 10 tabs (200mg),200 mg with each dose of Levodopa/Carbidopa (max 8 times daily).,"Tolcapone, Opicapone.",Global Tablet
Entecavir,Chronic Hepatitis B Virus (HBV) infection,-,"Headache, fatigue, dizziness, nausea.",Nucleoside Analog Antiviral,Very High Cost; Specialty drug,0.5 mg or 1 mg once daily.,"Tenofovir, Lamivudine.",Global Tablet
Enzalutamide,Metastatic Prostate Cancer (Castration-resistant),-,"Asthenia/fatigue, hot flashes, headache. Serious: Seizures, posterior reversible encephalopathy syndrome (PRES).",Androgen Receptor Inhibitor,Extremely High Cost; Oncology use only,160 mg once daily.,"Abiraterone, Bicalutamide.",Global Capsule
Epirubicin hydrochloride,"Various Cancers (Breast, Ovarian, Gastric, Lymphoma)",-,"Severe myelosuppression, nausea, vomiting, hair loss, mucositis, red urine. Serious: Cardiotoxicity (dose-dependent heart failure).",Anthracycline Antibiotic (Chemotherapy),Very High Cost; Oncology use only,"IV infusion (Dosing complex, based on $\text{m}^2$ and protocol).","Doxorubicin, Daunorubicin.",Global Injection
Eplerenone,Hypertension (High Blood Pressure),Post-MI Heart Failure (Reduced Ejection Fraction),"High potassium (hyperkalemia), dizziness, diarrhea.",Selective Aldosterone Antagonist (Potassium-Sparing Diuretic),₹150 - ₹400 per 10 tabs (25mg/50mg),Initial: 25 mg once daily. Max 50 mg once daily.,"Spironolactone, Amiloride.",Global Tablet
